,name,country,id,hem,temp,lat,lon,humidity,clouds,max_temp,wind,ideal
71,Hobyo,SO,57000,North,85.53,5.35,48.53,69,0,85.53,6.2,False
72,Hamilton,US,4513583,North,35.76,39.18,-84.53,37,1,37.99,5.82,False
73,Bandarbeyla,SO,64814,North,83.59,9.49,50.81,66,0,83.59,5.44,False
74,Ponta do Sol,PT,2264557,North,60.03,32.67,-17.1,77,20,62.6,4.7,False
75,Saldanha,ZA,3361934,South,55.4,-33.01,17.94,76,17,55.4,3.36,False
76,Souillac,MU,933995,South,73.4,-20.52,57.52,88,20,73.4,3.36,False
77,Ancud,CL,3899695,South,51.89,-41.87,-73.82,93,75,52.0,11.41,False
78,Arraial do Cabo,BR,3471451,South,69.21,-22.97,-42.03,64,41,69.21,6.31,False
79,Alofi,NU,4036284,South,82.4,-19.06,-169.92,83,45,82.4,9.17,False
80,Ixtapa,MX,4004293,North,73.22,20.7,-105.2,70,0,73.22,2.28,True
81,East London,ZA,1006984,South,59.0,-33.02,27.91,93,35,59.0,8.05,False
82,Hearst,CA,5973108,North,23.32,49.68,-83.67,97,91,23.32,7.54,False
83,Cabot,US,4103957,North,49.68,34.97,-92.02,87,1,50.0,7.92,False
84,Butaritari,KI,2110227,North,83.68,3.07,172.79,73,98,83.68,7.78,False
85,Saint-Augustin,CA,6137462,North,34.57,51.23,-58.65,97,100,34.57,10.27,False
86,Puerto Baquerizo Moreno,EC,3652758,South,76.12,-0.9,-89.6,92,75,76.12,7.94,False
87,Saskylakh,RU,2017155,North,14.68,71.92,114.08,94,24,14.68,12.21,False
88,Hobart,AU,2163355,South,53.73,-42.88,147.33,58,75,55.4,5.82,False
89,Yellowknife,CA,6185377,North,35.29,62.46,-114.35,69,75,35.6,11.41,False
90,George Town,MY,1735106,North,89.29,5.41,100.34,70,20,89.6,5.82,False
91,Tasiilaq,GL,3424607,North,30.2,65.61,-37.64,63,100,30.2,18.34,False
92,Iqaluit,CA,5983720,North,32.0,63.75,-68.51,93,75,32.0,3.36,False
93,Mil'kovo,RU,2123278,North,40.53,54.72,158.62,68,100,40.53,3.11,False
94,Acaraú,BR,3408368,South,77.54,-2.89,-40.12,88,99,77.54,5.41,False
95,Cape Town,ZA,3369157,South,59.0,-33.93,18.42,93,45,59.0,4.7,False
96,Makakilo City,US,5850554,North,76.75,21.35,-158.09,64,20,78.8,10.29,False
97,Kaitangata,NZ,2208248,South,63.0,-46.28,169.85,51,0,63.0,1.01,False
98,Havøysund,NO,779622,North,30.2,71.0,24.66,86,75,30.2,21.92,False
99,Linhai,CN,1803422,North,84.63,28.85,121.12,60,89,87.01,4.03,False
100,Ryōtsu-minato,JP,1853371,North,68.0,38.08,138.43,52,100,68.0,4.7,False
101,Vostok,RU,2013279,North,62.47,46.49,135.88,36,100,62.47,4.38,False
102,Lata,PT,2738381,North,57.74,40.16,-8.33,87,99,59.0,1.99,False
103,Kokopo,PG,2093685,South,85.46,-4.35,152.26,74,3,85.46,7.83,False
104,Kavieng,PG,2094342,South,85.14,-2.57,150.8,73,7,85.14,9.82,False
105,Tuktoyaktuk,CA,6170031,North,32.0,69.45,-133.04,97,5,32.0,16.11,False
106,Horta,PT,3372988,North,63.1,38.53,-28.63,90,99,63.1,19.13,False
107,Longyearbyen,SJ,2729907,North,26.6,78.22,15.64,58,40,26.6,9.17,False
108,Tambura,SS,366444,North,70.16,5.6,27.47,97,94,70.16,4.45,False
109,Muros,ES,3115824,North,57.99,42.78,-9.06,82,79,57.99,1.99,False
110,Dikson,RU,1507390,North,27.3,73.51,80.55,96,82,27.3,20.54,False
111,Verkhnevilyuysk,RU,2013639,North,37.54,63.45,120.32,63,17,37.54,6.69,False
112,Zapolyarnyy,RU,464790,North,32.0,69.42,30.81,92,75,32.0,10.29,False
113,Chui,UY,3443061,South,49.68,-33.7,-53.46,82,0,49.68,6.4,False
114,Buraidah,SA,107304,North,80.6,26.33,43.98,57,20,80.6,9.17,False
