State,City,0
AL,Abbeville,1
AL,Adamsville,1
AL,Addison,4
AL,Alabaster,19
AL,Albertville,7
AL,Alexander City,2
AL,Alpine,2
AL,Altoona,6
AL,Andalusia,4
AL,Anniston,11
AL,Arab,3
AL,Ardmore,11
AL,Ariton,1
AL,Ashford,1
AL,Ashville,1
AL,Athens,100
AL,Atmore,1
AL,Attalla,5
AL,Auburn,11
AL,Autaugaville,1
AL,Baileyton,1
AL,Banks,9
AL,Bay Minette,16
AL,Berry,1
AL,Bessemer,41
AL,Billingsley,1
AL,Birmingham,731
AL,Blountsville,26
AL,Boligee,3
AL,Brantley,2
AL,Bremen,5
AL,Brewton,1
AL,Brookwood,1
AL,Brownsboro,6
AL,Brundidge,16
AL,Bryant,1
AL,Buhl,2
AL,Calera,22
AL,Camp Hill,2
AL,Carbon Hill,2
AL,Carrollton,3
AL,Castleberry,3
AL,Cecil,4
AL,Center Point,1
AL,Centreville,1
AL,Chancellor,1
AL,Chelsea,6
AL,Cherokee,3
AL,Childersburg,2
AL,Chunchula,3
AL,Citronelle,1
AL,Clanton,79
AL,Clayton,6
AL,Cleveland,16
AL,Clio,1
AL,Coaling,6
AL,Coden,3
AL,Collinsville,3
AL,Columbia,1
AL,Cordova,2
AL,Cottondale,44
AL,Cowarts,1
AL,Creola,2
AL,Cullman,86
AL,Dadeville,2
AL,Daleville,3
AL,Danville,6
AL,Daphne,58
AL,Deatsville,4
AL,Decatur,48
AL,Demopolis,1
AL,Dolomite,1
AL,Dothan,67
AL,Duncanville,9
AL,Eastaboga,1
AL,Eclectic,7
AL,Eight Mile,8
AL,Elba,3
AL,Elberta,2
AL,Eldridge,1
AL,Elkmont,8
AL,Elmore,6
AL,Elrod,1
AL,Enterprise,13
AL,Epes,2
AL,Ethelsville,1
AL,Eufaula,7
AL,Eutaw,7
AL,Evergreen,2
AL,Fairfield,13
AL,Fairhope,4
AL,Falkville,31
AL,Fayette,5
AL,Fitzpatrick,3
AL,Florence,5
AL,Foley,8
AL,Fort Deposit,13
AL,Fort Payne,1
AL,Fosters,4
AL,Frisco City,1
AL,Fultondale,13
AL,Fyffe,1
AL,Gadsden,1
AL,Gardendale,17
AL,Georgiana,7
AL,Gordo,2
AL,Goshen,1
AL,Grady,10
AL,Grand Bay,14
AL,Grant,4
AL,Graysville,3
AL,Greensboro,1
AL,Greenville,13
AL,Gulf Shores,1
AL,Guntersville,4
AL,Gurley,2
AL,Hamilton,1
AL,Hanceville,10
AL,Harpersville,1
AL,Hartford,2
AL,Hartselle,9
AL,Harvest,13
AL,Hayden,8
AL,Hayneville,6
AL,Hazel Green,23
AL,Headland,2
AL,Heflin,7
AL,Highland Home,1
AL,Hillsboro,1
AL,Holly Pond,5
AL,Hoover,10
AL,Hope Hull,12
AL,Horton,1
AL,Huntsville,510
AL,Irvington,20
AL,Jack,1
AL,Jacksons Gap,1
AL,Jasper,36
AL,Jemison,17
AL,Kellyton,1
AL,Killen,1
AL,Kinston,5
AL,Knoxville,3
AL,Laceys Spring,6
AL,Lafayette,1
AL,Lanett,4
AL,Lawley,4
AL,Leeds,85
AL,Leesburg,2
AL,Leighton,2
AL,Lester,2
AL,Letohatchee,24
AL,Lexington,1
AL,Lincoln,8
AL,Lineville,2
AL,Locust Fork,3
AL,Lowndesboro,2
AL,Loxley,14
AL,Luverne,3
AL,Lynn,2
AL,Madison,123
AL,Malvern,2
AL,Maplesville,2
AL,Marbury,10
AL,Marion,3
AL,Mathews,14
AL,Mc Calla,16
AL,Mc Kenzie,5
AL,Mentone,1
AL,Meridianville,19
AL,Midland City,9
AL,Midway,1
AL,Millbrook,14
AL,Mobile,399
AL,Monroeville,3
AL,Montevallo,4
AL,Montgomery,664
AL,Moody,10
AL,Morris,1
AL,Moulton,1
AL,Moundville,3
AL,Mount Vernon,3
AL,Mountain Brk,1
AL,Muscle Shoals,3
AL,Nauvoo,4
AL,New Brockton,7
AL,New Hope,5
AL,Newton,5
AL,Newville,2
AL,Northport,50
AL,Notasulga,1
AL,Oneonta,49
AL,Opelika,38
AL,Opp,1
AL,Owens Cross Roads,26
AL,Oxford,8
AL,Ozark,22
AL,Parrish,5
AL,Pelham,12
AL,Pell City,6
AL,Perdido,3
AL,Phenix City,47
AL,Phil Campbell,1
AL,Piedmont,1
AL,Pike Road,36
AL,Pinson,1
AL,Pittsview,4
AL,Plantersville,1
AL,Prattville,84
AL,Quinton,4
AL,Ralph,1
AL,Ramer,4
AL,Reform,1
AL,Remlap,12
AL,Riverside,8
AL,Robertsdale,6
AL,Rockford,1
AL,Rutledge,1
AL,Salem,4
AL,Samson,1
AL,Saraland,27
AL,Satsuma,5
AL,Seale,1
AL,Seminole,1
AL,Semmes,22
AL,Sheffield,1
AL,Shorter,19
AL,Shorterville,1
AL,Silverhill,3
AL,Slocomb,3
AL,Smiths Station,7
AL,Somerville,5
AL,Spanish Fort,2
AL,Springville,6
AL,Stanton,1
AL,Sterrett,4
AL,Stevenson,2
AL,Sumiton,1
AL,Sylacauga,3
AL,Tallassee,2
AL,Tanner,49
AL,Theodore,23
AL,Thomasville,1
AL,Thorsby,7
AL,Titus,10
AL,Toney,4
AL,Town Creek,1
AL,Trafford,5
AL,Trenton,1
AL,Troy,79
AL,Trussville,6
AL,Tuscaloosa,257
AL,Tuscumbia,12
AL,Tuskegee,9
AL,Tyler,4
AL,Union Springs,2
AL,Valley,4
AL,Valley Head,1
AL,Vance,8
AL,Verbena,9
AL,Vincent,2
AL,Vinemont,6
AL,Wagarville,1
AL,Warrior,39
AL,Webb,1
AL,Wetumpka,31
AL,Wilmer,1
AL,Wilsonville,3
AL,York,2
AR,Austin,3
AR,Bassett,1
AR,Beebe,1
AR,Benton,13
AR,Biscoe,4
AR,Cabot,1
AR,Carlisle,2
AR,Conway,5
AR,Crawfordsville,6
AR,Earle,2
AR,El Paso,1
AR,England,1
AR,Gilmore,1
AR,Hazen,1
AR,Heth,1
AR,Hindsville,1
AR,Hughes,1
AR,Jacksonville,3
AR,Jonesboro,4
AR,Judsonia,3
AR,Little Rock,54
AR,Lonoke,2
AR,Malvern,3
AR,Marion,16
AR,Maumelle,1
AR,Mc Rae,1
AR,Monticello,2
AR,Morrilton,3
AR,North Little Rock,23
AR,Perry,1
AR,Proctor,3
AR,Redfield,3
AR,Scott,1
AR,Turrell,1
AR,Van Buren,1
AR,West Memphis,13
AR,Wheatley,1
AR,White Hall,3
AZ,Ajo,3
AZ,Apache Junction,25
AZ,Ash Fork,9
AZ,Avondale,137
AZ,Benson,2
AZ,Black Canyon City,42
AZ,Buckeye,145
AZ,Bullhead City,6
AZ,Camp Verde,13
AZ,Casa Grande,5
AZ,Cave Creek,12
AZ,Chambers,5
AZ,Chandler,320
AZ,Chino Valley,1
AZ,Cibola,3
AZ,Claypool,1
AZ,Clifton,1
AZ,Concho,2
AZ,Congress,5
AZ,Coolidge,8
AZ,Cornville,2
AZ,Cottonwood,1
AZ,Dateland,1
AZ,Dewey,10
AZ,Dolan Springs,1
AZ,Dragoon,1
AZ,Duncan,1
AZ,Ehrenberg,1
AZ,El Mirage,34
AZ,Eloy,10
AZ,Flagstaff,33
AZ,Florence,5
AZ,Forest Lakes,1
AZ,Fort McDowell,7
AZ,Fort Mohave,3
AZ,Ganado,4
AZ,Gila Bend,10
AZ,Gilbert,64
AZ,Glendale,619
AZ,Gold Canyon,3
AZ,Golden Valley,9
AZ,Goodyear,173
AZ,Holbrook,9
AZ,Kaibeto,3
AZ,Kearny,1
AZ,Kingman,13
AZ,Kirkland,1
AZ,Lake Havasu City,10
AZ,Laveen,60
AZ,Litchfield Park,16
AZ,Littlefield,10
AZ,Marana,58
AZ,Maricopa,42
AZ,Mayer,30
AZ,Mesa,284
AZ,Miami,3
AZ,Mohave Valley,4
AZ,Morenci,1
AZ,Morristown,7
AZ,Mount Lemmon,1
AZ,New River,30
AZ,Oracle,4
AZ,Oro Valley,5
AZ,Page,2
AZ,Paradise Valley,44
AZ,Parker,3
AZ,Paulden,1
AZ,Payson,21
AZ,Peeples Valley,1
AZ,Peoria,226
AZ,Peridot,4
AZ,Petrified Forest Natl Pk,3
AZ,Phoenix,3994
AZ,Picacho,1
AZ,Pine,7
AZ,Polacca,1
AZ,Prescott,5
AZ,Prescott Valley,7
AZ,Quartzsite,2
AZ,Queen Creek,23
AZ,Rimrock,2
AZ,Roll,1
AZ,Safford,2
AZ,Salome,12
AZ,San Carlos,1
AZ,San Manuel,2
AZ,San Simon,4
AZ,San Tan Valley,6
AZ,Scottsdale,483
AZ,Sedona,25
AZ,Seligman,1
AZ,Show Low,8
AZ,Springerville,1
AZ,Sun City,96
AZ,Sun City West,25
AZ,Sun Lakes,6
AZ,Superior,10
AZ,Surprise,117
AZ,Tacna,1
AZ,Tempe,480
AZ,Tolleson,77
AZ,Tonopah,41
AZ,Tonto Basin,1
AZ,Tucson,4569
AZ,Vail,1
AZ,Waddell,15
AZ,Wellton,4
AZ,Wickenburg,11
AZ,Willcox,1
AZ,Williams,13
AZ,Willow Beach,1
AZ,Winkelman,3
AZ,Winslow,10
AZ,Wittmann,3
AZ,Yarnell,1
AZ,Youngtown,4
AZ,Yuma,24
CA,Acampo,69
CA,Acton,212
CA,Adelanto,12
CA,Agoura Hills,90
CA,Ahwahnee,13
CA,Alameda,3
CA,Alamo,114
CA,Albion,5
CA,Alhambra,178
CA,Aliso Viejo,6
CA,Alpine Meadows,2
CA,Alta,52
CA,Altadena,52
CA,Alturas,5
CA,Alviso,1
CA,American Canyon,108
CA,Anaheim,1355
CA,Anaheim-Santa Ana-Garden Grove,1
CA,Anderson,46
CA,Angels Camp,27
CA,Angwin,5
CA,Annapolis,3
CA,Antelope,103
CA,Antioch,193
CA,Apple Valley,91
CA,Applegate,16
CA,Aptos,83
CA,Arbuckle,25
CA,Arcadia,85
CA,Arcata,23
CA,Arleta,8
CA,Armona,12
CA,Arnold,20
CA,Aromas,24
CA,Arroyo Grande,43
CA,Artesia,40
CA,Artois,1
CA,Arvin,54
CA,Atascadero,59
CA,Atherton,5
CA,Atwater,124
CA,Auberry,4
CA,Auburn,148
CA,Avenal,25
CA,Avila Beach,1
CA,Azusa,227
CA,Bakersfield,1483
CA,Baldwin Park,623
CA,Ballico,3
CA,Bangor,1
CA,Barstow,83
CA,Bass Lake,1
CA,Bay Point,37
CA,Beckwourth,5
CA,Belden,2
CA,Bell Gardens,147
CA,Bella Vista,9
CA,Bellflower,125
CA,Belmont,64
CA,Belvedere Tiburon,5
CA,Ben Lomond,19
CA,Benicia,84
CA,Benton,1
CA,Berkeley,248
CA,Berry Creek,3
CA,Bethel Island,3
CA,Big Bar,2
CA,Big Bear City,2
CA,Big Pine,2
CA,Big Sur,34
CA,Biggs,6
CA,Birds Landing,1
CA,Bishop,37
CA,Blairsden Graeagle,4
CA,Bloomington,305
CA,Blue Jay,2
CA,Blue Lake,9
CA,Blythe,29
CA,Bodega,2
CA,Bodega Bay,28
CA,Bodfish,12
CA,Bolinas,14
CA,Bonita,15
CA,Bonsall,39
CA,Boonville,3
CA,Boron,9
CA,Boulder Creek,41
CA,Bradley,10
CA,Brea,200
CA,Brentwood,102
CA,Bridgeport,8
CA,Bridgeville,16
CA,Brisbane,38
CA,Brooks,3
CA,Browns Valley,8
CA,Buellton,12
CA,Buena Park,190
CA,Burbank,243
CA,Burlingame,61
CA,Burney,10
CA,Burnt Ranch,8
CA,Butte City,3
CA,Buttonwillow,24
CA,Byron,69
CA,Calabasas,127
CA,Caliente,74
CA,California City,1
CA,California Hot Springs,11
CA,Calimesa,16
CA,Calistoga,99
CA,Callahan,1
CA,Calpine,3
CA,Camarillo,156
CA,Cambria,21
CA,Cameron Park,17
CA,Camino,18
CA,Camp Pendleton,73
CA,Campbell,61
CA,Camptonville,8
CA,Canby,17
CA,Canoga Park,3
CA,Cantil,11
CA,Cantua Creek,3
CA,Canyon Country,112
CA,Canyon Dam,2
CA,Capay,5
CA,Capistrano Beach,26
CA,Capitola,27
CA,Cardiff By The Sea,1
CA,Cardiff By the Sea,42
CA,Carlotta,9
CA,Carlsbad,210
CA,Carmel,60
CA,Carmel Valley,20
CA,Carmichael,204
CA,Carnelian Bay,6
CA,Carpinteria,73
CA,Carson,299
CA,Caruthers,7
CA,Casmalia,3
CA,Caspar,2
CA,Cassel,1
CA,Castaic,127
CA,Castella,6
CA,Castro Valley,305
CA,Castroville,75
CA,Catheys Valley,4
CA,Cayucos,8
CA,Cazadero,9
CA,Cedar Glen,2
CA,Cedarpines Park,4
CA,Cedarville,6
CA,Central Contra Costa,2
CA,Ceres,82
CA,Cerritos,285
CA,Chatsworth,146
CA,Chester,7
CA,Chico,106
CA,Chilcoot,4
CA,Chino,310
CA,Chino Hills,38
CA,Chowchilla,97
CA,Chualar,1
CA,Chula Vista,157
CA,Citrus Heights,70
CA,City Of Industry,24
CA,Claremont,181
CA,Clarksburg,21
CA,Clayton,18
CA,Clearlake,13
CA,Clearlake Oaks,28
CA,Clements,1
CA,Clio,2
CA,Cloverdale,33
CA,Clovis,92
CA,Coalinga,76
CA,Coarsegold,47
CA,Cobb,2
CA,Coleville,28
CA,Colfax,66
CA,Colton,419
CA,Columbia,1
CA,Colusa,18
CA,Commerce,49
CA,Comptche,5
CA,Compton,404
CA,Concord,394
CA,Cool,23
CA,Copperopolis,9
CA,Corcoran,16
CA,Corning,41
CA,Corona,1169
CA,Corona del Mar,1
CA,Coronado,2
CA,Corte Madera,22
CA,Costa Mesa,225
CA,Cotati,67
CA,Cottonwood,29
CA,Coulterville,26
CA,Courtland,4
CA,Covelo,1
CA,Covina,223
CA,Coyote,11
CA,Crescent City,30
CA,Crescent Mills,6
CA,Crestline,12
CA,Creston,1
CA,Crockett,78
CA,Crows Landing,25
CA,Culver City,153
CA,Cupertino,59
CA,Cutler,16
CA,Daly City,127
CA,Dana Point,1
CA,Danville,103
CA,Davenport,11
CA,Davis,265
CA,Davis Creek,4
CA,Death Valley,8
CA,Del Mar,77
CA,Delano,95
CA,Delhi,52
CA,Denair,4
CA,Diamond Bar,335
CA,Diamond Springs,15
CA,Dinuba,20
CA,Discovery Bay,22
CA,Dixon,157
CA,Dorris,5
CA,Dos Palos,18
CA,Douglas City,14
CA,Downey,427
CA,Downieville,1
CA,Doyle,16
CA,Drytown,1
CA,Duarte,114
CA,Dublin,82
CA,Ducor,1
CA,Dunlap,2
CA,Dunnigan,15
CA,Dunsmuir,4
CA,Durham,8
CA,Dutch Flat,15
CA,Earlimart,45
CA,Earp,8
CA,East Palo Alto,5
CA,East Shasta,3
CA,East Sierra,3
CA,East Tehama,10
CA,Echo Lake,17
CA,Edwards,17
CA,El Cerrito,13
CA,El Dorado,16
CA,El Dorado Hills,91
CA,El Monte,174
CA,El Nido,6
CA,El Segundo,38
